age,job,marital,education,children,mortgage,empvarrate,conspriceidx,consconfidx,euribor3m,nremployed,y
34,services,married,high.school,1,yes,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,yes
43,unemployed,single,university.degree,1,yes,1.1,93.994,-36.4,4.857,5191,no
56,management,married,unknown,2,yes,1.1,93.994,-36.4,4.857,5191,no
39,management,married,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
53,blue-collar,married,basic.4y,3,yes,1.1,93.994,-36.4,4.857,5191,no
38,unknown,divorced,high.school,2,yes,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.4y,2,yes,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.4y,3,no,1.1,93.994,-36.4,4.857,5191,no
35,admin.,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
40,admin.,married,university.degree,3,yes,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,basic.4y,3,yes,1.1,93.994,-36.4,4.857,5191,no
60,blue-collar,married,basic.9y,2,no,1.1,93.994,-36.4,4.857,5191,no
56,entrepreneur,married,unknown,2,yes,1.1,93.994,-36.4,4.857,5191,no
39,services,divorced,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
56,entrepreneur,married,unknown,2,no,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,unknown,4,yes,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,basic.9y,1,yes,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,unknown,5,yes,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
43,technician,single,professional.course,0,yes,1.1,93.994,-36.4,4.857,5191,no
59,services,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
24,management,single,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,single,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,basic.9y,3,no,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.9y,2,no,1.1,93.994,-36.4,4.857,5191,no
39,services,divorced,high.school,3,no,1.1,93.994,-36.4,4.857,5191,no
37,entrepreneur,married,basic.6y,3,no,1.1,93.994,-36.4,4.857,5191,no
38,services,married,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
56,admin.,divorced,unknown,1,no,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
54,management,divorced,university.degree,3,yes,1.1,93.994,-36.4,4.857,5191,no
43,blue-collar,married,high.school,3,no,1.1,93.994,-36.4,4.857,5191,no
36,services,married,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
45,technician,married,university.degree,1,yes,1.1,93.994,-36.4,4.857,5191,no
42,admin.,single,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,no
43,services,married,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
46,management,married,basic.9y,3,no,1.1,93.994,-36.4,4.857,5191,no
44,services,married,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
51,admin.,single,basic.6y,0,no,1.1,93.994,-36.4,4.857,5191,no
28,services,married,high.school,3,yes,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,basic.9y,5,no,1.1,93.994,-36.4,4.857,5191,no
34,technician,married,high.school,4,no,1.1,93.994,-36.4,4.857,5191,no
46,blue-collar,married,basic.6y,5,yes,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.9y,4,yes,1.1,93.994,-36.4,4.857,5191,yes
36,admin.,married,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
54,blue-collar,married,basic.4y,3,no,1.1,93.994,-36.4,4.857,5191,no
57,management,married,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,yes
51,technician,married,basic.6y,3,no,1.1,93.994,-36.4,4.857,5191,no
54,retired,married,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,married,basic.4y,1,no,1.1,93.994,-36.4,4.857,5191,no
34,admin.,married,university.degree,1,yes,1.1,93.994,-36.4,4.857,5191,no
41,technician,married,professional.course,3,no,1.1,93.994,-36.4,4.857,5191,no
38,blue-collar,single,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
45,management,divorced,university.degree,1,no,1.1,93.994,-36.4,4.857,5191,yes
42,technician,married,university.degree,5,no,1.1,93.994,-36.4,4.857,5191,yes
34,blue-collar,single,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
48,blue-collar,married,basic.4y,5,yes,1.1,93.994,-36.4,4.857,5191,no
37,admin.,married,high.school,2,yes,1.1,93.994,-36.4,4.857,5191,no
34,blue-collar,single,basic.9y,0,no,1.1,93.994,-36.4,4.857,5191,no
40,admin.,married,basic.9y,3,yes,1.1,93.994,-36.4,4.857,5191,no
43,blue-collar,married,basic.6y,1,yes,1.1,93.994,-36.4,4.857,5191,no
33,services,married,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
32,services,single,basic.6y,0,no,1.1,93.994,-36.4,4.857,5191,no
39,blue-collar,married,high.school,4,yes,1.1,93.994,-36.4,4.857,5191,no
43,admin.,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,married,basic.9y,3,yes,1.1,93.994,-36.4,4.857,5191,no
35,student,single,university.degree,1,no,1.1,93.994,-36.4,4.857,5191,yes
35,student,single,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
35,unemployed,married,professional.course,3,no,1.1,93.994,-36.4,4.857,5191,no
36,services,single,basic.4y,0,no,1.1,93.994,-36.4,4.857,5191,no
35,student,single,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
36,student,single,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
55,housemaid,divorced,university.degree,1,no,1.1,93.994,-36.4,4.857,5191,yes
59,admin.,married,university.degree,4,no,1.1,93.994,-36.4,4.857,5191,yes
57,retired,married,unknown,4,no,1.1,93.994,-36.4,4.857,5191,no
39,blue-collar,married,professional.course,0,yes,1.1,93.994,-36.4,4.857,5191,no
39,housemaid,married,basic.4y,5,yes,1.1,93.994,-36.4,4.857,5191,no
30,blue-collar,single,unknown,0,yes,1.1,93.994,-36.4,4.857,5191,no
30,blue-collar,single,unknown,0,yes,1.1,93.994,-36.4,4.857,5191,no
50,housemaid,married,basic.4y,4,no,1.1,93.994,-36.4,4.857,5191,no
40,services,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
35,admin.,married,high.school,5,yes,1.1,93.994,-36.4,4.857,5191,no
43,technician,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
36,services,single,basic.6y,2,yes,1.1,93.994,-36.4,4.857,5191,no
46,technician,married,basic.4y,5,yes,1.1,93.994,-36.4,4.857,5191,no
40,technician,married,basic.9y,4,no,1.1,93.994,-36.4,4.857,5191,no
58,retired,married,university.degree,5,no,1.1,93.994,-36.4,4.857,5191,yes
42,technician,married,university.degree,4,no,1.1,93.994,-36.4,4.857,5191,yes
35,admin.,single,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,yes
43,retired,married,basic.4y,4,no,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic.4y,3,yes,1.1,93.994,-36.4,4.857,5191,no
39,admin.,married,professional.course,3,yes,1.1,93.994,-36.4,4.857,5191,no
50,services,divorced,professional.course,1,yes,1.1,93.994,-36.4,4.857,5191,no
32,management,divorced,basic.4y,2,yes,1.1,93.994,-36.4,4.857,5191,no
39,admin.,married,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
52,self-employed,married,university.degree,2,no,1.1,93.994,-36.4,4.857,5191,yes
44,admin.,married,professional.course,0,yes,1.1,93.994,-36.4,4.857,5191,no
56,blue-collar,married,basic.4y,5,no,1.1,93.994,-36.4,4.857,5191,no
48,admin.,married,high.school,2,no,1.1,93.994,-36.4,4.857,5191,no
33,services,married,high.school,3,no,1.1,93.994,-36.4,4.857,5191,no
43,management,married,university.degree,4,no,1.1,93.994,-36.4,4.857,5191,yes
57,retired,married,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
36,technician,single,professional.course,0,no,1.1,93.994,-36.4,4.857,5191,no
34,management,married,university.degree,2,yes,1.1,93.994,-36.4,4.857,5191,no
34,services,single,basic.9y,0,no,1.1,93.994,-36.4,4.857,5191,no
30,technician,married,university.degree,3,no,1.1,93.994,-36.4,4.857,5191,yes
33,services,divorced,unknown,3,no,1.1,93.994,-36.4,4.857,5191,no
32,technician,single,professional.course,0,no,1.1,93.994,-36.4,4.857,5191,no
36,technician,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,single,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
33,services,single,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
40,technician,divorced,professional.course,4,no,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,basic.4y,5,yes,1.1,93.994,-36.4,4.857,5191,no
51,services,married,basic.6y,3,yes,1.1,93.994,-36.4,4.857,5191,no
36,technician,married,professional.course,4,yes,1.1,93.994,-36.4,4.857,5191,no
28,services,married,unknown,5,no,1.1,93.994,-36.4,4.857,5191,no
53,services,married,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
58,blue-collar,married,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
45,management,married,basic.9y,1,no,1.1,93.994,-36.4,4.857,5191,no
43,technician,married,unknown,0,yes,1.1,93.994,-36.4,4.857,5191,no
33,admin.,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
33,admin.,married,high.school,2,no,1.1,93.994,-36.4,4.857,5191,no
27,blue-collar,single,basic.6y,0,unknown,1.1,93.994,-36.4,4.857,5191,no
42,technician,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
43,admin.,divorced,basic.9y,4,no,1.1,93.994,-36.4,4.857,5191,no
42,admin.,married,university.degree,1,no,1.1,93.994,-36.4,4.857,5191,yes
27,blue-collar,single,basic.6y,0,no,1.1,93.994,-36.4,4.857,5191,no
34,self-employed,single,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
31,student,single,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,yes
54,management,divorced,university.degree,4,no,1.1,93.994,-36.4,4.857,5191,no
40,self-employed,married,basic.4y,3,no,1.1,93.994,-36.4,4.857,5191,no
52,unemployed,married,high.school,4,yes,1.1,93.994,-36.4,4.857,5191,no
47,management,divorced,university.degree,3,no,1.1,93.994,-36.4,4.857,5191,no
49,housemaid,married,basic.9y,3,no,1.1,93.994,-36.4,4.857,5191,no
32,admin.,single,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
49,housemaid,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
50,blue-collar,married,basic.9y,5,no,1.1,93.994,-36.4,4.857,5191,no
34,services,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
55,blue-collar,married,basic.4y,3,no,1.1,93.994,-36.4,4.857,5191,no
47,technician,single,basic.9y,0,no,1.1,93.994,-36.4,4.857,5191,no
51,retired,married,professional.course,2,no,1.1,93.994,-36.4,4.857,5191,no
47,blue-collar,married,basic.6y,5,no,1.1,93.994,-36.4,4.857,5191,no
56,technician,married,basic.4y,4,yes,1.1,93.994,-36.4,4.857,5191,no
53,admin.,married,basic.9y,1,no,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,basic.9y,3,yes,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,divorced,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,divorced,basic.6y,0,no,1.1,93.994,-36.4,4.857,5191,no
39,housemaid,married,basic.9y,5,yes,1.1,93.994,-36.4,4.857,5191,yes
37,admin.,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
60,blue-collar,married,unknown,0,yes,1.1,93.994,-36.4,4.857,5191,no
36,services,married,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
42,management,divorced,university.degree,5,yes,1.1,93.994,-36.4,4.857,5191,no
31,admin.,married,high.school,4,yes,1.1,93.994,-36.4,4.857,5191,no
53,technician,divorced,professional.course,0,no,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic.4y,0,yes,1.1,93.994,-36.4,4.857,5191,no
37,technician,single,professional.course,0,yes,1.1,93.994,-36.4,4.857,5191,no
47,self-employed,married,professional.course,1,no,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,divorced,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
36,admin.,married,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
35,services,divorced,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
38,unknown,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
38,services,single,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
50,blue-collar,divorced,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
59,retired,married,professional.course,2,no,1.1,93.994,-36.4,4.857,5191,no
43,unknown,married,unknown,4,yes,1.1,93.994,-36.4,4.857,5191,no
42,admin.,married,high.school,3,yes,1.1,93.994,-36.4,4.857,5191,no
40,admin.,married,basic.6y,5,yes,1.1,93.994,-36.4,4.857,5191,no
46,blue-collar,married,unknown,4,no,1.1,93.994,-36.4,4.857,5191,no
57,housemaid,divorced,basic.4y,4,yes,1.1,93.994,-36.4,4.857,5191,no
42,admin.,married,university.degree,3,yes,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,basic.4y,4,yes,1.1,93.994,-36.4,4.857,5191,no
54,management,divorced,university.degree,1,yes,1.1,93.994,-36.4,4.857,5191,no
27,admin.,single,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,yes
36,admin.,married,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
58,blue-collar,married,professional.course,2,yes,1.1,93.994,-36.4,4.857,5191,no
40,management,married,university.degree,3,yes,1.1,93.994,-36.4,4.857,5191,no
34,admin.,single,basic.9y,0,no,1.1,93.994,-36.4,4.857,5191,no
33,admin.,divorced,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
56,retired,married,basic.6y,5,no,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.9y,1,no,1.1,93.994,-36.4,4.857,5191,no
43,services,married,high.school,5,yes,1.1,93.994,-36.4,4.857,5191,no
54,management,single,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
53,admin.,single,basic.6y,0,yes,1.1,93.994,-36.4,4.857,5191,no
42,technician,single,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
40,services,married,basic.6y,4,no,1.1,93.994,-36.4,4.857,5191,no
54,technician,married,professional.course,1,yes,1.1,93.994,-36.4,4.857,5191,no
40,housemaid,single,professional.course,1,no,1.1,93.994,-36.4,4.857,5191,no
26,admin.,single,university.degree,1,yes,1.1,93.994,-36.4,4.857,5191,no
33,admin.,married,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,basic.9y,5,no,1.1,93.994,-36.4,4.857,5191,no
36,admin.,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
29,services,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,married,basic.9y,3,yes,1.1,93.994,-36.4,4.857,5191,no
35,management,married,high.school,3,yes,1.1,93.994,-36.4,4.857,5191,no
50,self-employed,single,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,yes
46,services,married,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
49,entrepreneur,married,high.school,1,yes,1.1,93.994,-36.4,4.857,5191,no
42,technician,single,professional.course,0,yes,1.1,93.994,-36.4,4.857,5191,no
36,blue-collar,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
55,blue-collar,married,basic.9y,5,yes,1.1,93.994,-36.4,4.857,5191,no
41,management,married,university.degree,5,no,1.1,93.994,-36.4,4.857,5191,no
57,management,married,professional.course,3,yes,1.1,93.994,-36.4,4.857,5191,no
32,services,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
49,admin.,married,basic.9y,1,no,1.1,93.994,-36.4,4.857,5191,no
57,unknown,married,unknown,3,yes,1.1,93.994,-36.4,4.857,5191,no
58,blue-collar,divorced,basic.4y,2,yes,1.1,93.994,-36.4,4.857,5191,no
52,technician,married,high.school,5,yes,1.1,93.994,-36.4,4.857,5191,no
50,services,divorced,professional.course,0,no,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,single,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
